肯定是抑郁了😅  	肯定是抑郁了😅
属实让它懂完了  	想用保底饭票留住人以便长期的剥削作者，结果反被套路，聪明反被聪明误罢了，什么时候起点能给每个新人作家签约整个这样的合同，再来诉苦吧
属实让它懂完了  	读书读傻了
属实让它懂完了  	老板破产会当什么，他为什么不直接破产？
属实让它懂完了  	请全跪滋笨家当场破产
为什么神神总是这么的自我感觉良好？  	为什么神神总是这么的自我感觉良好？
为什么神神总是这么的自我感觉良好？  	二十四史是什么来着？
为什么神神总是这么的自我感觉良好？  	为什么🐰🐰总是这么的自我感觉良好？
为什么神神总是这么的自我感觉良好？  	我一直都是🐰🐰啊
为什么神神总是这么的自我感觉良好？  	大家都是🐰🐰啊
为什么神神总是这么的自我感觉良好？  	跟我没关系，我是🐰🐰
为什么神神总是这么的自我感觉良好？  	还好我是兔兔
为什么神神总是这么的自我感觉良好？  	为什么你总是自我感觉良好
为什么神神总是这么的自我感觉良好？  	还好我是🐰🐰
为什么神神总是这么的自我感觉良好？  	还好我是🐰🐰
为什么神神总是这么的自我感觉良好？  	其实吧，我是兔兔。
为什么神神总是这么的自我感觉良好？  	跟我没关系，我是🐰🐰
为什么神神总是这么的自我感觉良好？  	因为没上过学
一群nt魔怔了是吧？地级市的交警一把手多少活要处理？能有40  	一群nt魔怔了是吧？地级市的交警一把手多少活要处理？能有40分钟一线执勤这还不是接地气？这是七八十年代的大学生，看看履历，就是从基层一点一点干上来的。20年初调任武汉，很多济南人都舍不得这个好市长。
一群nt魔怔了是吧？地级市的交警一把手多少活要处理？能有40  	蛆只会尬黑是吧
一群nt魔怔了是吧？地级市的交警一把手多少活要处理？能有40  	怎么没人来呢
一群nt魔怔了是吧？地级市的交警一把手多少活要处理？能有40  	把某些人干沉默了
一群nt魔怔了是吧？地级市的交警一把手多少活要处理？能有40  	只会低级黑是这样的
一群nt魔怔了是吧？地级市的交警一把手多少活要处理？能有40  	大部分人只是输出情绪，并不想了解真相
一群nt魔怔了是吧？地级市的交警一把手多少活要处理？能有40  	仕途还是很顺利的，调到武汉做了一年一把手，直接升省部级了。
一群nt魔怔了是吧？地级市的交警一把手多少活要处理？能有40  	因为跟他们没关系
天天穿个逼衣服，是不是想当🔥佛了？明年就抽签选上去。天啊……  	天天穿个逼衣服，是不是想当🔥佛了？明年就抽签选上去。天啊……他真的……太
天天穿个逼衣服，是不是想当🔥佛了？明年就抽签选上去。天啊……  	集美们，开扣！
天天穿个逼衣服，是不是想当🔥佛了？明年就抽签选上去。天啊……  	真尼玛晦气。今晚打牌赢不了我就干了他的亲妈。这个**。******
天天穿个逼衣服，是不是想当🔥佛了？明年就抽签选上去。天啊……  	全员丁真是吧😅
天天穿个逼衣服，是不是想当🔥佛了？明年就抽签选上去。天啊……  	woc，你是真敢说啊
天天穿个逼衣服，是不是想当🔥佛了？明年就抽签选上去。天啊……  	囬气
天天穿个逼衣服，是不是想当🔥佛了？明年就抽签选上去。天啊……  	😅
天天穿个逼衣服，是不是想当🔥佛了？明年就抽签选上去。天啊……  	别炒了，他爱怎么样怎么样吧
天天穿个逼衣服，是不是想当🔥佛了？明年就抽签选上去。天啊……  	什么吐蕃王😅
天天穿个逼衣服，是不是想当🔥佛了？明年就抽签选上去。天啊……  	我打赌，她公司的其他员工绝壁没胆这么抱她
赢！  	😅
赢！  	本来就是啊，富士康当年还十几连跳那
赢！  	赢了
赢！  	赢
赢！  	东亚三卷差不多得了😅
赢！  	非洲自杀率最低，非洲赢麻了😅
赢！  	他们不了解日本的情况没有调查过，日本经过20年刺泡泡实的多生活保障也高得多
白哥永远滴神  	经典啊！
白哥永远滴神  	直接把房价干到宇宙第一得了
白哥永远滴神  	跟胡锡进一样一样的
白哥永远滴神  	庙堂之上朽木为官，殿陛之间**食禄
白哥永远滴神  	白岩松早就是既得利益者了，不会真以为他屁股正吧😅
白哥永远滴神  	还给我上一个帖子强制整没了，牛
白哥永远滴神  	这位师爷一看就是装糊涂的高手
白哥永远滴神  	烂肉喇叭
白哥永远滴神  	肉的broadcast
白哥永远滴神  	?****呢？人活着不就为了这?你还想怎么滴啊？非要希望我们当个油菜花一样被榨尽最后一滴油成为后浪的肥料?这寄吧谁啊？真nm恶心
白哥永远滴神  	彻底清洗
白哥永远滴神  	远看一条狗，近看白岩松
白哥永远滴神  	这么说有点过分吧？我没考虑过影响吗
白哥永远滴神  	既得利益者的丑恶嘴脸
神圣**帝国=后清=后后金=吼吼鲸  	保皇噹很难不4000+
神圣**帝国=后清=后后金=吼吼鲸  	清狗没有一个无辜的，早该图图了
神圣**帝国=后清=后后金=吼吼鲸  	螨清畜gck
薛定谔的监控  	😅
薛定谔的监控  	我们都有美好的未来
薛定谔的监控  	可不敢wy天眼
看到这个评价我突然明白了  	之前一直好奇为什么去年八角对佐佐子的评价会是那样。直到今天看到这个层主对袁隆平的评价，我突然就明白了。其实佐佐子的那套逻辑模式完全可以用来解构佐佐子自己的叙事。
莫说韩柳擅文才，当时今日俱难挨全闻饿殍全闻叹，满目新贵满目哀  	莫说韩柳擅文才，当时今日俱难挨全闻饿殍全闻叹，满目新贵满目哀倩谁写就经济策，何处乞得惠民才呕心沥血不足惜，浩荡红军已重来
莫说韩柳擅文才，当时今日俱难挨全闻饿殍全闻叹，满目新贵满目哀  	d
莫说韩柳擅文才，当时今日俱难挨全闻饿殍全闻叹，满目新贵满目哀  	d
莫说韩柳擅文才，当时今日俱难挨全闻饿殍全闻叹，满目新贵满目哀  	d
莫说韩柳擅文才，当时今日俱难挨全闻饿殍全闻叹，满目新贵满目哀  	我且和一首：治乱常理微亦昭，江山世代显英豪。神狙无意围全网，北马有心入大牢。辩经应就思时弊，吟诗不敢轻民谣。谁人佯问当今计，回首却捧前代高。
莫说韩柳擅文才，当时今日俱难挨全闻饿殍全闻叹，满目新贵满目哀  	真不知道三界六道有什么值得贪念的
莫说韩柳擅文才，当时今日俱难挨全闻饿殍全闻叹，满目新贵满目哀  	然后呢
莫说韩柳擅文才，当时今日俱难挨全闻饿殍全闻叹，满目新贵满目哀  	拿欣钟国和这些比？
莫说韩柳擅文才，当时今日俱难挨全闻饿殍全闻叹，满目新贵满目哀  	＋3
莫说韩柳擅文才，当时今日俱难挨全闻饿殍全闻叹，满目新贵满目哀  	d
莫说韩柳擅文才，当时今日俱难挨全闻饿殍全闻叹，满目新贵满目哀  	d
莫说韩柳擅文才，当时今日俱难挨全闻饿殍全闻叹，满目新贵满目哀  	我也和一首严冬又多鬼迷魂，大圣呼苦小猴身。不辞世界传炬火，要往庙堂斩蛇神。蓄志待时力方小，夺旗换日酒尚温。教员回首应笑慰，屠龙自有后来人。
我已经麻了  	临沂的人真处不了
我已经麻了  	精神卫生是什么？
我已经麻了  	test
我已经麻了  	雷电法王
我已经麻了  	魔幻年代
我已经麻了  	雷电法王
我已经麻了  	这个“人”怎么还在
我已经麻了  	电麻了
我已经麻了  	雷电法王复出了是吧😅
我已经麻了  	这个家伙还没倒？
我已经麻了  	test
我已经麻了  	😅
老哥们细说怎么才能不挂科。分享一下经验。  	这学期烂完了，因为一些小事导致不想听课，一学期都没什么状态，马上期末了，不知道怎么才能过。
老哥们细说怎么才能不挂科。分享一下经验。  	这学期不还有一个多月吗
老哥们细说怎么才能不挂科。分享一下经验。  	学
老哥们细说怎么才能不挂科。分享一下经验。  	南大？南大应该没有期末划重点这种说法吧，现在开始恶补吧
老哥们细说怎么才能不挂科。分享一下经验。  	真想挂科也很难吧，原始分可能很难看，最后还是会调一手的。只要跟着老师学了一般都挂不了的，而且大部分老师都知道本科生压力比较大，P/F的一般就过了，记成绩也有B或者C了。
老哥们细说怎么才能不挂科。分享一下经验。  	不逃课，基本不会挂科。反正我挂的科都是我作死逃课的。挂了4门英语。最后花钱过得
怎么会事呢？  	留美预备学校
怎么会事呢？  	就是这么回事，八联里只有米国觉得这钱不能带回去，在种花投资建了大学铁路医院
怎么会事呢？  	本来就是啊
怎么会事呢？  	你火星了😅
怎么会事呢？  	留美预备学堂
怎么会事呢？  	没上过初中是吧😅
怎么会事呢？  	不会吧，还有人不知道清华大学的来历？
怎么会事呢？  	相比于其他国家直接拿钱，美国人才是最精的，把中国的钱拿来修培养留美人才
怎么会事呢？  	一直都是啊
怎么会事呢？  	你刚穿越回现代吗？
怎么会事呢？  	清华不一直是留美预备学堂吗？
怎么会事呢？  	当年赔款，赔多了。老霉讲契约精神，准备退掉那部分，但是又担心大Q的姥爷们贪，就拿这笔钱建了这个大学。清:指清镇fu，华:指华盛顿镇fu
怎么会事呢？  	现在不是？
怎么会事呢？  	醒醒大清亡了
赢麻了，兄弟们，这次真的赢了  	这新闻目的是宣传的读书的重要性吗
赢麻了，兄弟们，这次真的赢了  	我被吞好多次评论了
赢麻了，兄弟们，这次真的赢了  	wc怎么没了
赢麻了，兄弟们，这次真的赢了  	书名都这么刻意的吗
赢麻了，兄弟们，这次真的赢了  	书也要读对书啊，手机也能看书啊
赢麻了，兄弟们，这次真的赢了  	假的，读书哪有纯真重要。你读了书有顶针赚得多吗
赢麻了，兄弟们，这次真的赢了  	一眼真
赢麻了，兄弟们，这次真的赢了  	读书有纯真重要吗
赢麻了，兄弟们，这次真的赢了  	懂了，读书的都在地铁。不读书的都开bba是吧
赢麻了，兄弟们，这次真的赢了  	百万摆拍🤗
赢麻了，兄弟们，这次真的赢了  	懂了，读书的八点挤地铁，不读书的十点走路上班
赢麻了，兄弟们，这次真的赢了  	今天不是世界读书日吗🤗😅
赢麻了，兄弟们，这次真的赢了  	我在上海十号线摔过两次，相比其他线而言十号线算是比较晃的。而且早高峰人一点都不比二号线的少。你看书？看个锤子看
这里是白岩松的真爱打卡楼  	今天也是爱松哥的一天嗷
这里是白岩松的真爱打卡楼  	很喜欢松哥说的一句话：不会吧
这里是白岩松的真爱打卡楼  	岩松割割❤～
这里是白岩松的真爱打卡楼  	不会吧不会吧
这里是白岩松的真爱打卡楼  	这傻软怎么还不死，不会吧不会吧
这里是白岩松的真爱打卡楼  	一个有着莫名优越感的肉喇叭，还总爱紧锁眉头扮演社会良心。
这里是白岩松的真爱打卡楼  	松子哥が好きだよ
这里是白岩松的真爱打卡楼  	不会吧不会吧不会吧
这里是白岩松的真爱打卡楼  	不会吧
这里是白岩松的真爱打卡楼  	他以后就是我的人生导师
这里是白岩松的真爱打卡楼  	晦气
大家注意了啊！全体看我！我宣布个事儿！  	五四一百年了啊！
大家注意了啊！全体看我！我宣布个事儿！  	五四七十年了啊
真的有人为了证明吃几碗凉粉画肚子啊  	扪心自问，我做不到
哈哈被zbj压榨了25小时刚刚睡醒😅  	哈哈被zbj压榨了25小时刚刚睡醒😅
哈哈被zbj压榨了25小时刚刚睡醒😅  	凭空生成一个小时是吧😅😅😅
努力，永不过时的命题！  	奋斗逼
努力，永不过时的命题！  	努力也看不到头，何况努力也不是说说而已
努力，永不过时的命题！  	光说努力不谈回报
努力，永不过时的命题！  	彻底清洗
努力，永不过时的命题！  	努力到活不到65，领不到退休金
努力，永不过时的命题！  	十贴九删
努力，永不过时的命题！  	努力不一定会成功，但躺平一定会舒服
努力，永不过时的命题！  	什么叫努力呢？如此模糊的一个东西，如果你一直不能成功可以说你一直不努力吗？
努力，永不过时的命题！  	不会吧，不会吧，不会吧
努力，永不过时的命题！  	确实有的时候该努力。但是努力到前方一片黑暗，我努力个什么劲。
努力，永不过时的命题！  	不努力可以！！其实有很多人从出生到死亡，从来就没有需要努力过！！！但是，它们不会跳出来说，自己早就躺在终点等死！你在起点就躺平，那干脆不要跑了，大家散伙？？？
撤硕成分查  	贴一张名图
撤硕成分查  	没有带？😡
撤硕成分查  	能有这么多←？我一看还以为深深大本营了
撤硕成分查  	点左的不会都是网左吧
撤硕成分查  	分析的挺不错，这是一个人做的？挺有水平。
撤硕成分查  	有很多→以为自己是←，这些人在接触了街机理论后要么信念崩溃，变成魔怔←，要么信念崩溃变成极→。归根到底想得太多学得太少
撤硕成分查  	我在煎鱼煎豆子怎么说？发帖换积分
撤硕成分查  	我一直都是清华人啊
撤硕成分查  	女⭕实在是强，自带所有团体的强势属性，惹不起。
撤硕成分查  	哈哈，神神擅长精神胜利法，你是在影射谁啊
如果是，东方大国被踢出结算体系会怎么杨  	🦢怎么了？
如果是，东方大国被踢出结算体系会怎么杨  	那就太好了
如果是，东方大国被踢出结算体系会怎么杨  	有那么多廉价又勤劳的工人嘛?说这话那感觉。哇，挺可悲的。
如果是，东方大国被踢出结算体系会怎么杨  	鹅爹😭😭😭我的鹅爹😭😭😭
如果是，东方大国被踢出结算体系会怎么杨  	社会矛盾进一步激化
如果是，东方大国被踢出结算体系会怎么杨  	跟朝鲜伊朗俄罗斯非洲亲兄弟们组联盟
如果是，东方大国被踢出结算体系会怎么杨  	自魔怔人里根上台断了欧洲和苏联贸易之后，制造业就不可逆的向东亚转移了。我特别喜欢懂贼的一句话“疫情有助于制造业回流美国”。
如果是，东方大国被踢出结算体系会怎么杨  	参考伊朗，委瑞内拉
如果是，东方大国被踢出结算体系会怎么杨  	父慈子孝
如果是，东方大国被踢出结算体系会怎么杨  	那美元可买的东西可不多了
如果是，东方大国被踢出结算体系会怎么杨  	那就掀桌子，彻底开干
如果是，东方大国被踢出结算体系会怎么杨  	彻底清洗
如果是，东方大国被踢出结算体系会怎么杨  	目前还不太可能，勾兑的太深
如果是，东方大国被踢出结算体系会怎么杨  	苦死一帮鼠人。
怎么评价  	初心是好的，安全最重要
怎么评价  	出发点没问题，就是方式怪怪的，这玩意儿应该用来吊资本家啊
怎么评价  	😅沒有爭議
怎么评价  	土木🐶4000+
怎么评价  	什么绞刑架
怎么评价  	还不如查到一次罚100块钱有威慑力
怎么评价  	太哈人了，这是种植园吧
怎么评价  	工地保安全很重要，但是搞这种惩罚，安全员官瘾可能有点上头了
怎么评价  	？安全员是个几把啊，有处罚的资格？
怎么评价  	有些农村人出来干活，你跟他说注意安全，他还不高兴。不理解他们的思维。安全最重要啊。
怎么评价  	跟开远光灯被警察叔叔罚站看一个道理，都是为了他们和别人好。
怎么评价  	把👷吊在路灯上！
怎么评价  	什么奴隶主
怎么评价  	神友不会连这个都能赢吧
多少有点逆天了  	愿抽象指引我们前进的道路，阿门😇
多少有点逆天了  	对了，这位不是反串，是真逆天
多少有点逆天了  	要素过多，蚌埠住了
多少有点逆天了  	简介偷幻哥的罢了
多少有点逆天了  	逆天了
多少有点逆天了  	吃杨创主拉剩下的
多少有点逆天了  	这不就是幻男的简介吗
多少有点逆天了  	都被你缝完了😅
多少有点逆天了  	buff拉满是吧
多少有点逆天了  	逆天
多少有点逆天了  	弑神buff
多少有点逆天了  	猿批差不多得了😆😅
多少有点逆天了  	这，像个战神。
同志萌，都去帮帮他  	兄弟萌，都顶一顶啊
同志萌，都去帮帮他  	山细乱的狠，很多振幅不萌都和黑涩会有沟姐，俺就是山细腻。
同志萌，都去帮帮他  	哎！之前去打印的时候也见到一个老人颤巍巍的去复印一份类似的举报的信，哎！
同志萌，都去帮帮他  	谁的封地？王？
同志萌，都去帮帮他  	大家不要冷眼相看啊，能帮一下就帮一下
同志萌，都去帮帮他  	实名举报太可怕辣
同志萌，都去帮帮他  	很难不支持
同志萌，都去帮帮他  	什么软件？
同志萌，都去帮帮他  	去看了下，19年的，估计也被压下来了，活着种花家真的太累了
同志萌，都去帮帮他  	晦氣，本兔兔看不得這種
同志萌，都去帮帮他  	根据美国什么大学来着，美国疫情已经4000万了
同志萌，都去帮帮他  	都去关心美国疫情，谁让你们关心这个？
同志萌，都去帮帮他  	这名字属实是自我定位准确了
同志萌，都去帮帮他  	额
够努力吗？  	不行，不够纯真
够努力吗？  	不行楼主应该把家产分他一半
够努力吗？  	。。。。
够努力吗？  	二楼的还是人吗？他脸都毁容了，还要去嘲讽
够努力吗？  	美化苦难和歌颂苦难是真的把人当傻子
够努力吗？  	一眼🇻🇳
够努力吗？  	太平洋没加盖
够努力吗？  	不够纯真
够努力吗？  	麻了
白人已经必然被“黑穆拉亚”毁灭其文明了吗？  	？？？
白人已经必然被“黑穆拉亚”毁灭其文明了吗？  	先担心下打起来小黄人能撑几个回合吧，世界的未来是黑穆的，拉也许还行，亚很难
白人已经必然被“黑穆拉亚”毁灭其文明了吗？  	互丢核弹以后最大的赢家就是黑
这事没人议一下？  	这事没人议一下？
这事没人议一下？  	个人想法：1、科研人才当狗，2、娱乐希子当神，3、管燎把握学术话语。结果：“又”一次台上人唱着心碎离别歌，台下人看着仍是旧颜色（唱出来唱出来）
这事没人议一下？  	。
这事没人议一下？  	呵呵
这事没人议一下？  	钱的密码
这事没人议一下？  	针是💊
这事没人议一下？  	赚研究经费而已
这事没人议一下？  	不会真有人在清华吧讨论清华吧
这事没人议一下？  	不可能成的，国内跟凝聚态半导体研究相关的基本上都是骗经费的
这事没人议一下？  	赚科研经费不香吗，反正都在比烂
这事没人议一下？  	学完不跑到美国就算成功
这事没人议一下？  	都懂
这事没人议一下？  	哦，所以要求的经费多少？
这事没人议一下？  	赶英超美
这事没人议一下？  	多开心
承认问题才能教育好孩子  	视频来自：百度贴吧
果然，澳大利亚钢铁是好事  	煤炭期货手续费涨了，震怒，PRC误我
为什么感觉玩微信的蒻智比较多  	为什么感觉玩微信的蒻智比较多
为什么感觉玩微信的蒻智比较多  	那你赶紧卸载了啊
为什么感觉玩微信的蒻智比较多  	玩过你母的也比较多
为什么感觉玩微信的蒻智比较多  	自言自语壬
为什么感觉玩微信的蒻智比较多  	你能说出这句话了，那说明你也是五十步笑百步了
怎么连深深都不同情小偷了  	我还觉得比二马强多了的啊
怎么连深深都不同情小偷了  	走投无路
怎么连深深都不同情小偷了  	相反，老板们的欲望无底洞，却不缺粉丝。。
看看人家怎么说的  	只会抱怨有什么用
看看人家怎么说的  	不会吧
看看人家怎么说的  	和那个九成工人自愿降薪的真是呼应😅
看看人家怎么说的  	你信吗？
看看人家怎么说的  	不会吧
看看人家怎么说的  	需要教员的书可以进我主页帖子获取
看看人家怎么说的  	😅
看看人家怎么说的  	真狗币
看看人家怎么说的  	国内房价和他没关系了，run了
如何评价海员职业  	如何评价海员职业
如何评价海员职业  	什么大逃杀
如何评价海员职业  	什么钓鱿船
如何评价海员职业  	美元吧，不然谁他妈给你卖命
如何评价海员职业  	大连海事轮机毕业去上船当三管一个月3600💲
如何评价海员职业  	其次是油轮不过油轮很累
如何评价海员职业  	工资很高但却没人想干。海员是一群被遗忘被忽视的人。危险性高，社会地位低，环境狭小封闭孤单压抑，跟社会严重脱节。常年漂在海上全球到处跑，没老婆的话还好，有老婆的话，想象一下隔壁老王住着你的房睡着你的床玩着你的老婆...
如何评价海员职业  	海员属于高薪职业，还可以，人家这里是美金
如何评价海员职业  	隐居老哥争着报名
如何评价海员职业  	快进到吃鸡
如果神给你一个机会改变自己，你怎么选择？  	不改变自己。
如果神给你一个机会改变自己，你怎么选择？  	1.重开到你理想社会的一个中产家庭，天生有完美健康的身体和容貌，忘记前生一切与痛苦相关的记忆。
如果神给你一个机会改变自己，你怎么选择？  	变成一个畸形怪物，可以顶一个营，但寿命只有一年，并每天被身体崩坏的剧痛折磨。
如果神给你一个机会改变自己，你怎么选择？  	不改变自己。
如果神给你一个机会改变自己，你怎么选择？  	要是顶一个集团军我就变怪物
如果神给你一个机会改变自己，你怎么选择？  	你什么意思！你发这些东西有什么目的！
如果神给你一个机会改变自己，你怎么选择？  	不想改变了，重开就麻木了
如果神给你一个机会改变自己，你怎么选择？  	倾向性太强
如果神给你一个机会改变自己，你怎么选择？  	重生有什么好的，灰飞烟灭才是好事。
如果神给你一个机会改变自己，你怎么选择？  	我就佩服神曲的自信，总是觉得自己有机会run，肯定可以run到生活好的国家，总是觉得自己有机会重开，一定可以重开到幸福家庭，你们比🐰🐰自信多了，🐰🐰都不敢大白天的做这种梦
如果神给你一个机会改变自己，你怎么选择？  	可以顶核弹我就选，寿命一周都行
